Unnamed: 0,word,meaning
1680,vagabond,"To cause difficulty to someone, or to cause someone to feel angry, annoyed, or upset."
1681,verge,To tell or give something to someone.
1682,vex,"A very thin, dry biscuit that is often sweet."
1683,vouchsafe,to make a baby stop taking its mother's milk and start to eat solid food
1684,wafer,To make someone who is sad or disappointed feel better by giving them comfort or sympathy.
1685,wean,All the weapons and military equipment that a country owns.
1686,console,a sailor in the past who attacked and stole from other ships
1687,armoury,To allow saliva (= liquid in the mouth) to flow out of your mouth.
1688,buccaneer,"A worker who has a skill making them able to do a particular job, and who usually works for someone else."
1689,drool,"Without colour, or pale grey in colour."
1690,journeyman,to cut down a tree
1691,ashen,The time before night when it is not yet dark.
1692,fell,"To make a low, rough sound, usually in anger."
1693,dusk,An insect in the stage when it has just come out of its egg.
1694,growl,A feeling of nervousness that you experience before something important happens.
1695,grub,a plant that grows easily and is usually found in places where you do not want it
1696,jitters,A piece of land on which vines are grown.
1697,weed,"A special type of glove for protecting a person's hand, especially a thick leather glove used for catching a baseball."
1698,vineyard,"A person who trains and is in charge of animals, especially dogs."
1699,mitt,To repulse or put to flight by force or influence
1700,handler,a flat fish eaten as food
1701,drive,an event or situation that is a sign of the end of something
1702,brill,A small area of grass without trees in a wood.
1703,death knell,the amount of something that one is due relative to what other people are receiving.
1704,glade,to have had more of something unpleasant than other people when you do not deserve it
1705,one's fair share,Fig. to succeed in the world independently.
1706,more than your fair share of sth,Describes a hole or other opening that is very large.
1707,make one's way in the world,"A small pile of stones made, especially on mountains, to mark a place or as a memorial (= an object to make people remember someone or something."
1708,gaping,"An occasion when you see something or someone, especially that is rare or trying to hide."
1709,cairn,The house belonging to a farm and the buildings around it.
1710,sighting,A small stream.
1711,farmstead,to permit something; to endure something.
1712,brook,"to steal things from a place using force, especially during a war"
1713,stand for something,"If something that you want __ you, you do not succeed in achieving it."
1714,pillage,a man who in the past stopped people who were travelling on public roads in order to steal things from them
1715,elude,A weapon made of metal worn around the knuckles that strengthens the impact of a punch; brass knuckles.
1716,highwayman,"To be in hiding, as from a pursuer:"
1717,knuckleduster,hard physical work that makes you thirsty
1718,hide out,To knock or push roughly against someone in order to move past them or get more space when you are in a crowd of people.; to compete for something
1719,thirsty work,"to prepare, create, or put something together."
1720,jostle,a piece of coloured cloth worn around your head or neck
1721,whip up something,"hessian; A type of thick, rough cloth used for things and coverings that must be strong."
1722,bandanna,"A person who has changed their feelings of support and duty from one political, religious, national, etc. group to a new one."
1723,burlap,going from place to place in order to find people to attack or things to steal or destroy
1724,renegade,To confine in or as if in a pen. See Synonyms at enclose.
1725,marauding,A firm or secure position that provides a base for further advancement.
1726,pen,A herb whose seeds and thin feathery leaves are used in cooking.
1727,foothold,"A sauce made with meat juices and flour, served with meat and vegetables."
1728,dill,"Meat, usually beef, that has been cut up into very small pieces.; to cut meat into very small pieces using a machine"
1729,gravy,"to cook slowly at a temperature near boiling, or to cook something in this way"
1730,mince,"(something with) a curved shape that has two narrow pointed ends, like the moon when it is less than half of a circle."
1731,simmer,it is impossible to guess
1732,crescent,"A steep headland, promontory, riverbank, or cliff."
1733,there's no telling,continue to live through hardship or adversity
1734,bluff,a person who avoids work; idler
1735,hold up,"If you have a difficult situation __ __ __, you have to deal with it; in one's possession care, or management."
1736,loafer,to be a sign that something good/bad will happen
1737,have sth on one's hands,to develop;
1738,bode,"very brave and determined, especially in a difficult situation"
1739,shape up,Great ability or skill.
1740,valiant,A piece of bright but cheap jewellery.
1741,prowess,"The ability to perform a difficult action quickly and skilfully with the hands, or the ability to think quickly and effectively."
1742,bauble,With great speed or immediacy
1743,dexterity,To represent a quality or an idea exactly.
1744,post-haste,the people who live in a particular country or area
1745,embody,"A piece of jewellery worn around the neck, consisting of a long chain with an object hanging from it, or the object itself."
1746,the populace,In addition; besides
1747,pendant,more or less the same as something bad; as bad as something
1748,to boot,"A yellow, bell-shaped flower with a long stem that is commonly seen in the spring."
1749,nothing short of something,finally; permanently.
1750,daffodil,"To spread things untidily over a surface, or to be spread untidily over a surface."
1751,once and for all,"The small green pods from a tropical plant eaten as a vegetable or used to make foods such as soup thicker, or the plant itself."
1752,strew,The nose and mouth that stick out from the face of some animals.
1753,okra,full of fibres and difficult to cut and eat
1754,snout,Blood that has come from an injury and become thick.
1755,stringy,"A thin soup, often with vegetables or rice in it."
1756,gore,An amount produced at one baking; A quantity required for or produced as the result of one operation
1757,broth,To hold or keep within limits; restrain
1758,batch,"Great danger, or something that is very dangerous."
1759,contain,Slight; superficial.
1760,peril,Interpreted most favorably; at the most
1761,sketchy,"(especially of particular animals) to lie or roll about slowly in deep, wet earth, sand, or water."
1762,at best,"Existing in a wild state, especially describing an animal that was previously kept by people."
1763,wallow,"To crush food, usually after cooking it, so that it forms a soft mass."
1764,feral,Shouted at the end of a performance to get the performer to sing or play more.
1765,mash,"A hard, black substance similar to coal that can be used as fuel or, in the form of sticks, as something to draw with."
1766,encore,"To prepare (land) for the raising of crops, as by plowing and harrowing; cultivate."
1767,charcoal,A tree with leaves divided into five parts and seeds that turn around slowly to the ground when they fall.
1768,till,To make a liquid stronger or purer by heating it until it changes to a gas and then cooling it so that it changes back into a liquid.
1769,sycamore,A usually large section of a trunk or limb of a fallen or felled tree.
1770,distil,"To frighten someone a lot, especially so that they are unable to move or speak.; To cause to become stiff or stonelike; deaden."
1771,log,Having a pleasant and flowing sound.
1772,petrify,"something that exists before something else, and is related to it or influences its development"
1773,mellifluous,(of something unpleasant or dangerous) gradually and secretly causing harm.
1774,precursor,Not in confinement or captivity; at liberty; As a whole; in general
1775,insidious,to prevent someone from doing something that they want to do
1776,at large,a short piece of thread that you can see on cloth when it has been sewn
1777,thwart,"A heavy stick made of clay, stone, or metal with a thick, rounded end, used for crushing substances in a mortar (= a small strong bowl) by hitting or rubbing them."
1778,stitch,Straight; directly
1779,pestle,"A metal container for burning coal, wood, etc., used outside, to give warmth or to cook on."
1780,due,"Water with salt in it, especially when used to preserve food."
1781,brazier,a place made of stone in which dead people are buried
1782,brine,A valuable object that has been given by older members of a family to younger members of the same family over many years.
1783,sepulchre,A noisy situation or argument.
1784,heirloom,Fig. to be in charge of something; to be the head of some organization.
1785,ruckus,"a man, especially one that you like"
1786,head up,Recently; lately
1787,chap,some place to make a residence of a place
1788,of late,"If a condition subsides, it becomes less strong or extreme."
1789,take up residence,Fig. [for something] to cause someone to remember something or for it to seem familiar.
1790,subside,A lot of rain in a short time.
1791,ring a bell,To serve or provide oneself with
1792,downpour,Brazen boldness; effrontery
1793,help oneself to,"A person employed to take care of a large building, such as a school, and who deals with the cleaning, repairs, etc."
1794,nerve,"A stick with soft material fixed at one end, especially used for washing floors or dishes."
1795,caretaker,to dry away to nothing.
1796,mop,"A cover on a container, that can be lifted up or removed."
1797,dry up,The ability to see.
1798,lid,Smelling unpleasantly old and slightly wet.
1799,eyesight,Full of energy and difficult to control.
1800,musty,Fig. at the point in time that marks the beginning of something.
1801,rambunctious,To move away from the main subject you are writing or talking about and to write or talk about something else.
1802,on the cusp of sth,"To discern or see, especially with difficulty"
1803,digress,"Looking ill or tired, often with dark skin under the eyes."
1804,make out,"Something such as heat or smoke in the air that makes it less clear, so that it is difficult to see well."
1805,haggard,Rude and unfriendly.
1806,haze,"Difficult, needing a lot of effort and energy."
1807,abrasive,"Clever, dishonest talk or behaviour that is used to deceive people."
1808,arduous,The ability to judge correctly what is going to happen in the future and plan your actions based on this knowledge.
1809,chicanery,"To flow slowly out of something through a small opening, or to slowly produce a thick sticky liquid."
1810,foresight,"To hide or move around as if trying not to be seen, usually with bad intentions."
1811,ooze,"a thick, wet, unpleasant substance that covers something"
1812,skulk,namely; that is; that is to say
1813,slime,there is a rumor that...
1814,to wit,Essential or necessary for completeness; constituent
1815,rumor has it that,Used to emphasize a statement or to mean 'certainly'.
1816,integral,A man who wants to marry a particular woman.
1817,you bet,"Behaving in a rude, unpleasant way."
1818,suitor,to give someone information that they want or need
1819,uncouth,Fig. to appear to be deficient in comparison to something else
1820,fill somebody in,"if something is true ___ a __ of a doubt, there is no doubt that it is true"
1821,pale by/in comparison,"A large shop selling a large range of goods, or a shop selling a particular type of goods."
1822,beyond/without a shadow of a doubt,"to steal something secretly, especially to use it yourself for a short time"
1823,emporium,"Describes something, especially a gas or other substance, that is poisonous or very harmful."
1824,purloin,"very fast; twice as fast as normal. (Originally military. Alludes to ""double time"" in marching.)"
1825,noxious,a long wide piece of cloth that you wrap around your waist like a belt
1826,on the double,"A small, isolated, or protected area or group"
1827,sash,your aunt. A child often calls a woman 'auntie' when she is a close friend of the family.
1828,pocket,__ food is soft and easy to cut and eat
1829,auntie,"To touch something with quick light touches, or to put a substance on something with quick light touches."
1830,tender,A skilled person with experience who is in charge of and watches over a group of workers.
1831,dab,A metal pin used to fasten flat pieces of metal or other thick materials such as leather.
1832,foreman,to heat rock in order to remove the metal that it contains
1833,rivet,To run away; elope. to flee
1834,smelt,To support by or as if by a prop
1835,run off,"Not fleshy or fat; thin.; Containing little or no fat.; lacking in richness, fullness, quantity, etc."
1836,shore up,"salt, pepper, or other spices that you add to food to improve the taste"
1837,seasoning,(in the UK ) an official who takes away someone's possessions when they owe money.
1838,bailiff,an invitation; summons; an order; command
1839,bidding,A type of vulture (= a large bird that feeds on dead animals) from South America.
1840,condor,"A closet or cabinet, usually with shelves for storing food, crockery, and utensils."
1841,cupboard,(Cookery) a single portion of food taken at a meal
1842,helping,Soft and sticky.
1843,gooey,"(especially of a small animal, bird, or insect) to move very quickly and lightly."
1844,skitter,A tangy flavour is pleasantly strong and sharp.
1845,tangy,US for frying pan.
1846,skillet,Seeming not to have a body or not to be connected to a body.
1847,disembodied,An area that is sunk below its surroundings; a hollow.
1848,depression,To take a long time to leave or disappear.
1849,linger,"A large pile of earth, stones, etc. like a small hill."
1850,mound,"The part of something such as a tree, tooth, arm, or leg that is left after most of it has been removed."
1851,stump,A large building on a farm in which animals or hay (= dried grass) and grain are kept.
1852,barn,"if something comes __ _ the __ of something else, it happens very soon after it"
1853,hard/hot on the heels of sth,Alone and unhappy; left alone and not cared for.
1854,forlorn,"A feeling that something, especially something unpleasant, is going to happen."
1855,premonition,"immoral, dishonest, or unpleasant; Dirty and unpleasant."
1856,sordid,A small piece of partly burned coal or wood.; ember
1857,cinder,not thinking about the possible bad effects of your actions
1858,reckless,during the day; during the night.
1859,by day/night,a small bottle for storing medicine or perfume;a phial
1860,vial,Because; since.
1861,for,to make a sound like the one that leaves or sheets of paper make when they move
1862,rustle,"Darkness or thick cloud, preventing you from seeing clearly."
1863,murk,an insulting word for someone who is not a Christian or a follower of another major established religion
1864,heathen,Small; little.
1865,wee,to destroy something
1866,lay waste to sth,Something that protects you from dangerous or unpleasant situations.
1867,bulwark,"An argument that has existed for a long time between two people or groups, causing a lot of anger or violence."
1868,feud,Describes a disease or a growth that is likely to get worse and lead to death.
1869,malignant,Movable belongings; goods.
1870,effects,"to make someone feel nervous, confused, or upset"
1871,unsettle,"A deep, narrow crack in rock or the earth."
1872,fissure,"To look in great surprise at someone or something, especially with an open mouth."
1873,gape,v. to hit or beat repeatedly with a lot of force
1874,pound,To walk in an energetic way and with more movement than necessary.
1875,prance,to shake with short quick movements
1876,quiver,"a test of something new, for example a new system, vehicle, or machine; The activity of getting money from someone by threatening or tricking them."
1877,shakedown,undergrowth
1878,underbrush,"if something is ___ to you, you dislike it very much, usually because you think it is immoral"
1879,abhorrent,A wheelbarrow.
1880,barrow,old and slightly damaged
1881,battered,referring to sex in a humorous way
1882,bawdy,To feel unhappy because someone has something that you think they do not deserve.
1883,begrudge,a brittle substance or object is hard and can easily break into pieces
1884,brittle,"A sudden short period of noise, confusion, or excited movement."
1885,commotion,"(usually of a person's appearance or manner) unfriendly, unhappy, and very serious."
1886,dour,To use chemicals to prevent a dead body from decaying.
1887,embalm,A short journey either to take a message or to take or collect something.
1888,errand,"A large container for especially alcoholic drink, used in the past."
1889,flagon,Smooth and shiny.
1890,glossy,The process by which characteristics are given from a parent to their child through the genes.
1891,heredity,In order to prevent any possibility that something will happen.
1892,lest,Someone who has a strong wish to have money and hates to spend it.
1893,miser,"To remove all signs of something, either by destroying it or by covering it so that it cannot be seen."
1894,obliterate,"Any small organism, such as a virus or a bacterium that can cause disease."
1895,pathogen,a warning or warnings about the future
1896,portent,a boxer
1897,pugilist,"To stop something, especially by using force."
1898,quell,A large noisy uncontrolled group of people.
1899,rabble,to use a ___ to make an area of soil level or to remove leaves from the ground
1900,rake,"Having or showing a strong wish to take things for yourself, usually using unfair methods or force."
1901,rapacious,To satisfy a feeling of being thirsty or of wanting something.
1902,slake,"Always loyal in supporting a person, organization, or set of beliefs or opinions."
1903,staunch,someone who pretends to like a rich or important person in order to get some advantage from them
1904,toady,To pull something quickly and usually with a lot of force.
1905,tug,"(especially of a tail or finger) to move from side to side or up and down, especially quickly and repeatedly, or to cause this to happen."
1906,wag,The spirit of a dead person appearing in a form that can be seen.
1907,apparition,Something that keeps or defends a belief or a way of life that is disappearing or threatened.
1908,bastion,A state of extreme happiness or excitement.
1909,elation,"A piece of wood or coal, etc. which continues to burn after a fire has no more flames."
1910,ember,"A plant with blue flowers grown for its stems or seeds, or the thread made from this plant."
1911,flax,"Behaviour that is silly and not serious, or things that are silly and not important."
1912,frivolity,"To feel or express great pleasure or satisfaction because of your own success or good luck, or someone else's failure or bad luck."
1913,gloat,"Not friendly, and showing little interest in other people in a way that seems slightly rude."
1914,offhand,"A person who has no place in their society or in a particular group, because the society or group refuses to accept them."
1915,outcast,A mischievous sprite in English folklore.
1916,puck,a large black European bird that is a type of crow and lives in big noisy groups
1917,rook,To make or (especially of metal) become less bright or a different colour.
1918,tarnish,(of a speech sound) produced by making the vocal cords move very quickly several times.
1919,voiced,"A spirit of a dead person, sometimes represented as a pale, transparent image of that person."
1920,wraith,the ideas and principles on which a belief or system is based
1921,bedrock,"To remove your hat, usually to show respect."
1922,doff,"Small rounded stones, often mixed with sand."
1923,gravel,A large stone that is put at one end of a grave with the name of the person who has died and other details such as the year they died.
1924,headstone,"something that is very important to a plan, arrangement, or set of beliefs"
1925,keystone,a continual burden or handicap.
1926,millstone around one's neck,"The piles of broken stone and bricks, etc. that are left when a building falls down or is destroyed."
1927,rubble,"A small, thin line of cloud/smoke/steam."
1928,wisp,"If a boat or ship is ___, it is unable to move because it is touching ground or in a place where there is very little water."
1929,aground,"Fig. to prepare for difficult times. (From a nautical expression meaning, literally, to seal the hatches against the arrival of a storm. The word order is fixed.)"
1930,batten down the hatches,the bottom part of a boat; Nonsense.
1931,bilge,Any valuable things or money stolen by an army at war or by thieves.
1932,booty,"A floating object on the top of the sea, used for directing ships and warning them of possible danger."
1933,buoy,Dead or decaying flesh.
1934,carrion,A large or high waterfall.
1935,cataract,A friend.
1936,chum,Sticky and slightly wet in an unpleasant way.
1937,clammy,"A sea creature with eight arms and two tentacles that has a wide, flat shell inside its body and lives in waters near the coast and near the bottom of the sea."
1938,cuttlefish,to run or go somewhere very quickly because you are in a hurry
1939,dash,A very large amount of rain or water.
1940,deluge,shocking in a way that frightens or upsets you
1941,ghastly,"A person who directs a ship or boat, using a handle or wheel."
1942,helmsman,"A small sail in the shape of a triangle, positioned in front of the main sail on a boat."
1943,jib,[for a person] to fall over or fall down in a faint or in death.
1944,keel over,A tall pole on a boat or ship that supports its sails.
1945,mast,A V-shaped cut in a hard surface.
1946,notch,the absolute best. (Hyphenated before a nominal.)
1947,top notch,(especially of middle-aged or old men) fat and round.
1948,portly,To hit or push something with force.
1949,ram,To sink your own ship on purpose.; To ruin or destroy
1950,scupper,An illness of the body tissues that is caused by not having enough vitamin C.
1951,scurvy,To spread wide apart.
1952,splay,"Severe, or showing disapproval."
1953,stern,"A small, sharp nail with a flat end."
1954,tack,"To pull a large, cone-shaped net through the sea at a deep level behind a special boat in order to catch fish."
1955,weasel,A small mammal with reddish-brown fur and a long body that can kill other small animals such as mice and birds for food.
1956,wrack,Destruction or ruin.
1957,shove off,To push (a boat) away from shore in leaving.
1958,in the bag,"(informal) if something is in ___ ___, you are certain to get it or to achieve it"
1959,worth one's salt,Fig. worth (in productivity) what it costs to keep or support one.
1960,lower the boom on someone,Fig. to scold or punish someone severely; to crack down on someone; to throw the book at someone.
1961,one of these days,someday; in some situation like this one.
1962,artsy,"arty; showing a great interest in art, but in a way that may not be sincere"
1963,barista,A person who serves customers in a coffee shop (= small restaurant that serves coffee.
1964,binge,"An occasion when an activity is done in an extreme way, especially eating, drinking, or spending money."
1965,bland,Not having a strong taste or character or not showing any interest or energy.
1966,booby,A stupid person.
1967,boutique,"A small shop that sells fashionable clothes, shoes, jewellery, etc."
1968,chortle,"To laugh, showing pleasure and satisfaction, often at someone else's bad luck."
1969,clipped,"speaking clearly and quickly, in a way that seems unfriendly"
1970,clipping,A piece that has been cut off something.
1971,coroner,"An official who examines the reasons for a person's death, especially if it was violent or unexpected."
1972,dogged,"Very determined to do something, even if it is very difficult."
1973,edgy,in a bad mood because you are worried or nervous
1974,frill,a decoration that consists of a long narrow piece of cloth with many small folds in it
1975,full-bodied,"Describes wine with a strong, satisfying quality and taste."
1976,grungy,"(of a person) feeling tired and dirty, or (of a thing) dirty."
1977,handout,A document given to students or reporters which contains information about a particular subject.
1978,homey,(mainly US)=Having a feeling of home; comfortable; cozy.
1979,incision,"An opening that is made in something with a sharp tool, especially in someone's body during an operation."
1980,indexation,the practice of making the value of something such as pay or pensions change as general living costs rise or fall
1981,knob,"A round handle, or a small round device for controlling a machine or electrical equipment."
1982,low-key,Describes an event that is quiet and without a great show of excitement.
1983,mortuary,"A building, or a room in a hospital, where dead bodies are kept so that they can be examined before the funeral."
1984,overshoe,a shoe that fits over an ordinary shoe and keeps it dry in wet weather
1985,quirky,Unusual in an attractive and interesting way.
1986,spurious,"False and not what it appears to be, or (of reasons and judgments) based on something that has not been correctly understood and therefore false."
1987,squib,A small firework consisting of a tube filled with powder that makes a hissing noise when it is lit.
1988,swab,a small piece of cotton or another soft substance used for cleaning injuries
1989,transpire,"If it ___ that something has happened, this previously secret or unknown fact becomes known."
1990,unison,The playing or singing of notes at the same pitch by different instruments or voices.
1991,ward,a large room in a hospital with beds for people to stay in
1992,fuel,To support or stimulate the activity or existence of
1993,home in,Fig. to aim directly at someone or something.
1994,single out,to choose or pick someone or something for something; to select an eligible person or thing for something.
1995,shoulder,"To carry or place (a burden, for example) on the shoulders."
1996,surplus,(an amount that is) more than is needed.
1997,warehouse,"A large building for storing things before they are sold, used, or sent out to shops, or a large shop selling a large number of a particular product at a cheap rate."
1998,loft,"A space at the top of a building under the roof used for storing things and usually entered by a ladder, or sometimes made into a room for living in."
1999,situated,In a particular position.
2000,main drag,The largest or most important road in a town.
2001,amenity,"Something, such as a swimming pool or shopping centre, that is intended to make life more pleasant or comfortable for the people in a town, hotel, or other place. [usually plural]"
2002,keep to oneself,To shun the company of others
2003,draw,"One that attracts interest, customers, or spectators"
2004,regular,A habitual customer.
2005,fair trade,A way of buying and selling products that makes certain that the people who produce the goods receive a fair price.
2006,strike up,"to begin something; to cause something to begin. (Typically, the playing of a band, a conversation, or a friendship.)"
2007,in droves,Fig. in large numbers. (See also be ___ in ___.)
2008,on the go,Constantly busy or active.
2009,hip,Keenly aware of or knowledgeable about the latest trends or developments.
2010,laid-back,Relaxed in manner and character; not usually worried about other people's behaviour or things that need to be done.
2011,wind down,"Informal; To diminish gradually in energy, intensity, or scope; relax"
2012,head start,a productive beginning
2013,abdomen,"The lower part of a person's or animal's body, containing the stomach, bowels, and other organs, or the end of an insect's body."
2014,bystander,A person who is standing near and watching something that is happening but is not taking part in it.
2015,inquest,An official process to discover the cause of someone's death.
2016,magistrate,A person who acts as a judge in a law court that deals with crimes that are not serious.
2017,mastermind,"To plan a difficult activity, often a crime, in detail and make certain that it happens successfully."
2018,pinhole,A very small hole made by or as if by a pin.
2019,non-starter,"An idea, plan, or person with no chance of success."
2020,accordance,"Following or obeying a rule, law, wish, etc.."
2021,affray,A fight in a public place.
2022,ample,More than enough.
2023,animate,"to make someone or something more lively, active, or interested; Having life."
2024,annals,"Historical records of the activities of a country or organization, or history in general."
2025,arrears,Money that is owed and should already have been paid.
2026,ascendancy,"A position of power, strength, or success."
2027,attest,To show something or to say or prove that something is true.
2028,bathe,"To swim, especially in the sea, a river, or a lake."
2029,battlements,"A wall around the top of a castle, with regular spaces in it through which the people inside the castle can shoot."
2030,beater,a piece of equipment used for mixing food such as eggs or sauces
2031,befall,"If something bad or dangerous __ you, it happens to you."
2032,belch,To allow air from the stomach to come out noisily through the mouth.
2033,besotted,Completely in love with someone and always thinking of them.
2034,boisterous,"Noisy, energetic, and rough."
2035,bosom,A woman's breasts.
2036,brag,To speak too proudly about what you have done or what you own.
2037,brawn,Physical strength and big muscles.
2038,bushel,A unit of measurement equal to approximately 36.4 litres in Britain or 35.2 litres in the US.
2039,buxom,"(of a woman) healthy-looking and slightly fat, with large breasts."
2040,calumny,(the act of making) a statement about someone that is not true and is intended to damage the reputation of that person.
2041,candour,"The quality of being honest and telling the truth, especially about a difficult or embarrassing subject."
2042,cherish,"To love, protect, and care for someone or something that is important to you."
2043,chime,to make a high ringing sound like a bell or set of bells
2044,chorister,"One of a group of people who sing together in a choir, either in a cathedral or in a special school connected to a university."
2045,coffer,A large strong box in which money or valuable objects are kept.
2046,conciliate,"To end a disagreement or someone's anger by acting in a friendly way or slightly changing your opinions, or to satisfy someone who disagrees with you by acting in this way."
2047,confide,To tell something secret or personal to someone who you trust not to tell anyone else.
2048,conform,To behave according to the usual standards of behaviour that are expected by a group or society.
2049,conveyance,The process of moving something or someone from one place to another.
2050,cordial,"Friendly, but formal and polite."
2051,countermand,"To change an order that has already been given, especially by giving a new order."
2052,cowardice,behaviour that shows you are not brave enough to fight or do something difficult or dangerous that you should do
2053,credo,A set of beliefs that influences the way you live.
2054,decorum,"Behaviour that is controlled, calm, and polite."
2055,default,"To fail to do something, such as pay a debt, that you legally have to do."
2056,desist,"To stop doing something, especially something that someone else does not want you to do."
2057,despicable,"Very unpleasant or bad, causing strong feelings of dislike."
2058,disarray,The state of being confused and having no organization or of being untidy.
2059,disparage,To criticize someone or something in a way that shows you do not respect or value them.
2060,disport,"To enjoy yourself, especially by doing physical activity."
2061,dissolute,(of a person) living in a way that other people strongly disapprove of.
2062,dormitory,"A large room containing many beds, especially in a boarding school or university."
2063,dregs,the small amount of liquid and solid pieces left in the bottom of a container
2064,dysentery,a serious disease that affects your bowels and makes you go to the toilet very frequently and become very weak
2065,edible,Suitable or safe for eating.
2066,effigy,"A model or other object that represents someone, especially one of a hated person that is hanged or burned in a public place."
2067,embezzle,To secretly take money that is in your care or that belongs to an organization or business you work for.
2068,exclaim,"To say or shout something suddenly because of surprise, fear, pleasure, etc.."
2069,exhort,To strongly encourage or try to persuade someone to do something.
2070,exposition,A clear and full explanation of an idea or theory.
2071,fallible,Able or likely to make mistakes.
2072,fecund,"Able to produce a lot of crops, fruit, babies, young animals, etc.."
2073,feign,"To pretend to feel something, usually an emotion."
2074,fervent,Describes beliefs that are strongly and sincerely felt or people who have strong and sincere beliefs.
2075,forgery,"An illegal copy of a document, painting, etc. or the crime of making such illegal copies."
2076,fraternal,Relating to brothers.
2077,frivolous,Behaving in a silly way and not taking anything seriously.
2078,gasp,"To take a short, quick breath through the mouth, especially because of surprise, pain, or shock."
2079,gorge,a deep valley with high straight sides where a river has cut through rock
2080,harry,"To repeatedly demand something from someone, often causing them to feel worried or angry."
2081,headlong,With great speed or without thinking.
2082,honeycomb,To fill with holes or compartments; riddle
2083,hound,to follow someone in a determined way in order to get something from them
2084,humane,"Showing kindness, care, and sympathy towards others, especially those who are suffering."
2085,impertinent,"Rude and not showing respect, especially towards someone older or in a higher position than you."
2086,importunate,"Repeatedly asking for something, in a forceful and annoying way."
2087,imprint,a mark that an object leaves on a surface when it is pressed into it
2088,incarcerate,To put or keep someone in prison or in a place used as a prison.
2089,incursion,"A sudden attack on or act of going into a place, especially across a border."
2090,indict,"If a law court or a grand jury indicts someone, it accuses them officially of a crime."
2091,informant,someone who secretly gives information about someone to the police or someone in authority
2092,intimate,To make known subtly and indirectly; hint. See Synonyms at suggest.
2093,investiture,"A ceremony in which someone is given an official rank, authority, power, etc.."
2094,itinerary,A detailed plan or route of a journey.
2095,jangle,to make a noise by hitting small metal objects against each other
2096,justify,To give or to be a good reason for.
2097,kin,Family and relations.
2098,larder,"A cupboard or small room used, especially in the past, for storing food in someone's home."
2099,midwifery,The job of being a midwife ( =someone who is trained to help women when they are giving birth).
2100,mouldy,Covered with mould (Any of various fungi that often cause disintegration of organic matter.)
2101,noisome,Very unpleasant and offensive.
2102,odious,Extremely unpleasant and causing or deserving hate.
2103,outstay/overstay your welcome,to stay in a place longer than someone wants you to stay
2104,overweening,Being too proud or confident in yourself.
2105,peddler,"Especially in the past, a person who travelled to different places to sell small goods, usually by going from house to house."
2106,perfidious,"Unable to be trusted, or showing no loyalty."
2107,persecute,"to treat someone extremely badly, or to refuse them equal rights, especially because of their race, religion, or political beliefs"
2108,pigsty,a small building on a farm where pigs are kept
2109,pinch,"To press something, especially someone's skin, strongly between two hard things such as a finger and a thumb, usually causing pain."
2110,piteous,Causing you to feel sadness and sympathy.
2111,plump,"Having a pleasantly soft, rounded body or shape."
2112,preposterous,Very silly or stupid.
2113,prudent,Careful and avoiding risks.
2114,puff,"To breathe fast and with difficulty, usually because you have been doing exercise."
2115,quilt,A decorative cover for a bed.
2116,rebuke,Characterized by or resulting from ill-considered haste or boldness. See Synonyms at reckless.
2117,reprehensible,To speak angrily to someone because you disapprove of what they have said or done.
2118,rescind,"If someone's behaviour is ___, it is extremely bad or unacceptable."
2119,rhyme,"To make a law, agreement, order, or decision no longer have any (legal) power."
2120,riddled,Words that rhyme have the same last sound.
2121,riff-raff,"full of a lot of small holes, usually made by bullets"
2122,riven,People with a bad reputation or of a low social class.
2123,sanctify,Violently divided.
2124,scoff,To make an event or place holy.
2125,sham,To laugh and speak about a person or idea in a way that shows that you think they are stupid or silly.
2126,shellfish,"Something that is not what it seems to be and is intended to deceive people, or someone who pretends to be something they are not."
2127,slacken,"Sea creatures that live in shells and are eaten as food, or one of these creatures."
2128,snarl,"to become slower or less active, or to make something become slower or less active"
2129,snort,"(especially of dogs) to make a deep, rough sound while showing the teeth, usually in anger or (of people) to speak or say something angrily and forcefully."
2130,solstice,"to make a sudden loud noise through your nose, for example because you are angry or laughing"
2131,soundly,"Either of the two occasions in the year when the sun is directly above either the furthest point north or the furthest point south of the equator that it ever reaches. These are the times in the year, in the middle of the summer or winter, when there are the longest hours of day or night."
2132,sparrow,in a way that is strong and reliable
2133,squint,"A small, grey-brown bird that is especially common in towns."
2134,subjugate,To partly close your eyes in order to see more clearly.
2135,surety,To defeat people or a country and rule them in a way that allows them no freedom.
2136,tertiary,"someone who agrees to pay money if you do not go to court when you should, or if you do not pay money that you owe"
2137,thimble,Relating to a third level or stage.
2138,travesty of justice,a small metal or plastic cup that you wear on your finger to protect it when you are sewing
2139,uproar,a miscarriage of justice; an act of the legal system that is an insult to the system of justice
2140,wanton,A situation in which a lot of people complain about something angrily or make a lot of noise.
2141,warrant,"(of something bad, such as damage, cruelty, waste) extreme and showing no care at all."
2142,whimper,To make a particular activity necessary.
2143,wintry,"(especially of an animal) to make a series of small, weak sounds, expressing pain or unhappiness."
2144,worldly,Typical of winter.
2145,shiver,Relating to or consisting of physical things and ordinary life rather than spiritual things.
2146,commandant,"When people or animals ___, they shake slightly because they feel cold, ill, or frightened."
2147,curt,"An officer who is in charge of a military organization or building, such as a prison for soldiers used during a war."
2148,directorate,"If someone's manner or speech is curt, it is rude as a result of being very quick."
2149,fraught,A department or organization that is responsible for one particular thing.
